id,star,comment,movie_id,user_id
1,2,原作を忠実に再現していた。,1,1
2,0,面白いだけでなく、考えさせられる映画でした。,2,1
3,1,シリーズ作品の中でも最高の一本だった。,3,1
4,3,キャラクターの一人ひとりが魅力的で、引き込まれた。,4,1
5,4,映画館で見る価値がある映画だった。,5,1
6,0,驚きの展開が待ち受けていた。,6,1
7,0,面白いだけでなく、考えさせられる映画でした。,7,1
8,3,不思議な世界観が魅力的だった。,8,1
9,4,素晴らしい映画で、感動しました。,9,1
10,0,映像が美しく、ストーリーが深い。,10,1
11,4,映画館で見る価値がある映画だった。,11,1
12,2,映画全体を通して高いテンションを保っていた。,12,1
13,1,映画の最後には驚かされた。,13,1
14,2,役者たちの化学が素晴らしかった。,14,1
15,0,この映画は絶対に見逃せない一本だ。,15,1
16,1,繊細な感情描写に心を打たれた。,16,1
17,4,映画のテーマが深く、考えさせられた。,17,1
18,4,登場人物たちが魅力的で、物語に引き込まれました。,18,1
19,1,深く考えさせられるテーマが印象的だった。,19,1
20,0,映画全体を通して高いテンションを保っていた。,20,1
21,3,予想外の展開が連続し、飽きさせなかった。,21,1
22,1,エンディングが印象的で、心に残った。,1,2
23,2,話題の映画だけあって、見ごたえがありました。,2,2
24,2,驚きの展開が待ち受けていた。,3,2
25,2,感動的なストーリーで、心に残る映画だった。,4,2
26,3,引き込まれるストーリーテリングに感心した。,5,2
27,0,予想外の展開が連続し、飽きさせなかった。,6,2
28,2,シーンごとの映像美が素晴らしく、見応えがあった。,7,2
29,1,重厚なストーリーに心打たれた。,8,2
30,4,予想外の展開が連続し、飽きさせなかった。,9,2
31,3,エモーショナルな結末に感動した。,10,2
32,5,予想外の展開が連続し、飽きさせなかった。,11,2
33,4,エモーショナルな結末に感動した。,12,2
34,1,楽しみにしていた映画だけに、期待を裏切らなかった。,13,2
35,4,視覚的にも楽しめる映画だった。,14,2
36,2,一見の価値あり。とても面白かった。,15,2
37,2,撮影技術が素晴らしく、見応えがあった。,16,2
38,3,リアルな描写が素晴らしく、感情移入しやすかった。,17,2
39,1,繊細な感情描写に心を打たれた。,18,2
40,3,繊細な感情描写に心を打たれた。,19,2
41,3,感動的なストーリーで、心に残る映画だった。,20,2
42,4,映画のテーマが深く、考えさせられた。,21,2
43,1,心温まるエンディングに感動した。,1,3
44,0,脚本がよくできており、エンターテイメント性が高かった。,2,3
45,4,映画のテーマが深く、考えさせられた。,3,3
46,3,見終わった後も考えさせられる映画だった。,4,3
47,0,テーマソングが頭から離れない。,5,3
48,0,心温まるエンディングに感動した。,6,3
49,1,ユーモラスな要素が随所に散りばめられていて楽しかった。,7,3
50,0,リアリティがあり、感情移入しやすかった。,8,3
51,3,感動的なストーリーで、涙が止まらなかった。,9,3
52,0,映画全体を通して高いテンションを保っていた。,10,3
53,2,キャラクターの一人ひとりが魅力的で、引き込まれた。,11,3
54,4,映画の世界観に完全に引き込まれた。,12,3
55,4,原作を忠実に再現していた。,13,3
56,2,見終わった後も考えさせられる映画だった。,14,3
57,3,登場人物の一人一人が魅力的だった。,15,3
58,0,音楽が素晴らしく、映画の雰囲気を一層引き立てていた。,16,3
59,1,緻密なプロットに驚きを隠せない。,17,3
60,0,映像の美しさにただただ見入ってしまった。,18,3
61,3,感動的なストーリーで、涙が止まらなかった。,19,3
62,1,キャストの絶妙な演技が光っていた。,20,3
63,1,観る者を考えさせるような作品だった。,21,3
64,3,スリル満点の展開にハラハラした。,1,4
65,4,ユーモラスな要素が随所に散りばめられていて楽しかった。,2,4
66,2,ユーモラスな要素が随所に散りばめられていて楽しかった。,3,4
67,1,リアリティがあり、感情移入しやすかった。,4,4
68,2,笑いあり、涙ありの感動作品。,5,4
69,1,登場人物たちが魅力的で、物語に引き込まれました。,6,4
70,3,深遠なテーマが秀逸に描かれていた。,7,4
71,1,演技は素晴らしく、物語は心を打つものだった。,8,4
72,1,原作を忠実に再現していた。,9,4
73,0,素晴らしい視覚効果とキャラクターデザインに感動した。,10,4
74,2,リアリティがあり、感情移入しやすかった。,11,4
75,3,この映画は絶対に見逃せない一本だ。,12,4
76,2,この映画は絶対に見逃せない一本だ。,13,4
77,3,映画全体を通して高いテンションを保っていた。,14,4
78,4,終始、ハラハラドキドキさせられた。,15,4
79,1,リアリティがあり、感情移入しやすかった。,16,4
80,4,映画館で見る価値がある映画だった。,17,4
81,1,深く考えさせられるテーマが印象的だった。,18,4
82,0,キャラクターの一人ひとりが魅力的で、引き込まれた。,19,4
83,1,映画全体を通して高いテンションを保っていた。,20,4
84,3,CGが綺麗で、目を見張るほどだった。,21,4
85,1,リアリティがあり、感情移入しやすかった。,1,5
