id,name,year,content,is_accepted
1,インセプション,2010,夢の中へ侵入し、情報を盗むエキスパート,1
2,ハリー・ポッターと賢者の石,2001,魔法使いの少年の冒険,1
3,タイタニック,1997,豪華客船の沈没と二人の恋人の物語,1
4,フォレスト・ガンプ,1994,平凡な男の非凡な人生,1
5,マトリックス,1999,人間がマシンに支配される仮想現実世界,1
6,インターステラー,2014,地球が絶滅の危機に瀕し、宇宙を旅する物語,1
7,アベンジャーズ：エンドゲーム,2019,スーパーヒーローたちが全宇宙の運命を賭けた戦いに挑む,1
8,ジュラシック・パーク,1993,遺伝子操作により恐竜が復活したテーマパークの物語,1
9,ラ・ラ・ランド,2016,夢を追う男女のロマンチックな物語と、成功の代償,1
10,トイ・ストーリー,1995,おもちゃたちの冒険と友情を描いたアニメーション映画,1
11,ブレードランナー2049,2017,遠い未来の地球、レプリカントと人間の独特な関係性を描く,1
12,ムーラン,2020,古代中国、女性が男装して軍に入る話,1
13,ソーシャルネットワーク,2010,Facebook創設の裏話を描く,1
14,マダガスカル,2005,動物園から逃げ出した動物たちのアフリカ大陸での冒険,1
15,プラダを着た悪魔,2006,若きジャーナリストのファッション業界での体験,1
16,ワンダーウーマン,2017,女神が人間界で戦う物語,1
17,ブラックパンサー,2018,アフリカの秘境、高度な科学力を持つ国の王となった男の物語,1
18,ベイビードライバー,2017,天才ドライバーの犯罪世界での冒険,1
19,スターウォーズ:フォースの覚醒,2015,新たな世代の戦士が銀河を救う物語,1
20,ホワイトハウスダウン,2013,ホワイトハウスがテロリストに襲撃され、警官が大統領を守る物語,1
21,シンデレラ,2015,古典的な童話を現代風に描いた物語,1
